id,female,region,academic_qual,dob,age,numchild
1,1,london,None,1899,91,0
2,0,london,Degree +,1963,28,0
3,0,london,Degree +,1965,26,0
4,1,london,GCSE/CSE/OLevel,1933,58,0
5,1,london,None,1937,54,0
6,0,london,Degree +,1934,57,0
7,0,london,GCSE/CSE/OLevel,1955,36,1
8,1,london,NA,1959,32,1
9,1,london,Degree +,1942,49,1
10,0,london,Degree +,1945,46,1
11,1,london,None,1932,59,0
12,0,london,None,1939,52,0
13,1,london,None,1941,50,0
14,0,london,GCSE/CSE/OLevel,1972,19,0
15,1,london,None,1953,38,0
16,0,london,GCSE/CSE/OLevel,1956,35,0
17,0,london,ALevel,1965,25,0
18,0,london,Degree +,1967,24,0
19,0,london,NA,1963,28,0
20,0,london,GCSE/CSE/OLevel,1961,30,0
21,0,london,Degree +,1967,24,0
22,1,london,GCSE/CSE/OLevel,1969,22,0
23,1,london,ALevel,1961,30,2
24,0,london,NA,1953,38,2
25,1,london,None,1953,38,1
26,1,london,None,1971,20,1
27,1,london,GCSE/CSE/OLevel,1973,18,1
28,0,london,None,1932,59,0
29,1,london,None,1921,70,0
30,0,london,None,1961,30,1
31,1,london,None,1962,29,1
32,0,london,NA,1944,47,1
33,1,london,None,1948,43,1
34,1,london,GCSE/CSE/OLevel,1970,21,1
35,1,london,Degree +,1972,19,1
36,1,london,None,1956,35,2
37,0,london,ALevel,1948,43,2
38,1,london,GCSE/CSE/OLevel,1969,22,1
39,1,london,GCSE/CSE/OLevel,1971,20,1
40,1,london,GCSE/CSE/OLevel,1974,17,1
41,1,london,GCSE/CSE/OLevel,1967,24,2
42,1,london,ALevel,1964,27,0
43,0,london,Degree +,1955,34,0
44,1,london,Degree +,1945,46,0
45,0,london,Degree +,1962,29,0
46,0,london,Degree +,1940,51,0
47,1,london,ALevel,1956,34,0
48,0,london,Degree +,1962,29,0
49,1,london,Degree +,1942,49,0
50,0,london,NA,1943,48,0
51,1,london,Degree +,1955,36,0
52,0,london,None,1921,70,0
53,0,london,None,1912,79,0
54,1,london,Degree +,1954,37,0
55,0,london,None,1934,56,0
56,0,london,None,1961,30,0
57,1,london,None,1962,29,0
58,1,london,None,1914,77,0
59,0,london,Degree +,1963,28,0
60,0,london,GCSE/CSE/OLevel,1966,25,0
61,1,london,Degree +,1965,26,0
62,0,london,ALevel,1930,61,0
63,0,london,NA,1942,49,2
64,1,london,None,1955,36,2
65,1,london,ALevel,1972,19,2
66,1,london,GCSE/CSE/OLevel,1948,43,1
67,0,london,GCSE/CSE/OLevel,1974,17,1
68,1,london,None,1919,72,0
69,0,london,None,1909,82,0
70,1,london,None,1916,75,0
71,0,london,None,1916,75,0
72,0,london,None,1942,49,1
73,1,london,None,1947,44,1
74,0,london,None,1942,49,0
75,1,london,GCSE/CSE/OLevel,1944,47,0
76,1,london,ALevel,1943,48,3
77,0,london,ALevel,1968,23,0
78,1,london,ALevel,1968,23,0
79,0,london,Degree +,1943,48,2
80,1,london,GCSE/CSE/OLevel,1945,46,2
81,0,london,Degree +,1954,37,0
82,0,london,None,1906,85,0
83,1,london,None,1919,72,0
84,0,london,None,1955,36,2
85,1,london,GCSE/CSE/OLevel,1959,32,2
86,0,london,None,1907,84,0
87,1,london,None,1908,83,0
88,0,london,None,1927,64,0
89,1,london,None,1931,60,0
