id,age,gender,department,education,years_exp,weekly_hours,job_satisfaction,salary
1,28,Male,Operations,Bachelor's,2,45,7.9,21.1
2,57,Female,HR,Bachelor's,13,40,4.5,47.3
3,57,Male,Sales,Bachelor's,24,42,5.8,60.8
4,27,Female,Marketing,Master's,1,43,5.4,47.9
5,40,Female,Sales,Master's,4,38,6.4,35.6
6,55,Female,HR,PhD,25,36,3.4,65.8
7,53,Male,HR,Bachelor's,21,37,6.0,44.3
8,30,Female,IT,Master's,1,44,5.0,37.9
9,35,Male,HR,Master's,6,34,3.0,36.3
10,36,Female,Finance,Master's,13,42,4.0,58.4
11,34,Female,Marketing,Bachelor's,6,38,2.7,37.3
12,26,Male,Sales,Bachelor's,0,43,2.5,37.8
13,42,Male,Finance,Bachelor's,15,46,4.0,45.8
14,38,Male,Marketing,Master's,0,41,4.8,44.2
15,28,Male,Operations,Bachelor's,4,46,6.0,27.6
16,30,Male,Operations,PhD,8,43,5.1,51.0
17,32,Female,HR,Master's,3,36,5.6,27.9
18,51,Male,IT,Bachelor's,21,43,5.1,62.8
19,35,Female,Operations,PhD,11,43,5.5,48.6
20,53,Male,Sales,Master's,9,42,4.8,51.1
21,58,Male,Sales,Master's,34,42,4.4,65.5
22,46,Female,Marketing,Bachelor's,11,42,3.0,40.7
23,22,Male,Finance,PhD,0,44,4.3,54.5
24,44,Female,Finance,Master's,3,37,2.3,49.6
25,37,Male,IT,Bachelor's,7,37,2.6,54.8
26,28,Female,Marketing,Master's,3,37,5.9,34.0
27,27,Female,Operations,PhD,5,41,6.1,49.7
28,59,Female,Sales,Master's,35,46,2.8,57.4
29,44,Female,IT,Master's,12,40,3.2,53.9
30,62,Male,HR,PhD,21,35,4.8,62.9
31,43,Male,Sales,Bachelor's,2,34,7.2,39.4
32,41,Male,HR,Master's,17,36,5.8,49.0
33,33,Male,IT,PhD,8,40,5.5,53.8
34,61,Male,Marketing,Bachelor's,20,36,5.3,50.0
35,58,Male,IT,PhD,12,42,4.6,63.4
36,31,Male,Marketing,Bachelor's,7,41,3.8,42.9
37,34,Female,Marketing,Master's,8,36,4.5,42.5
